RAZON SOCIAL;DIRECCIÓN;TELÉFONO;ABIERTO 24 HORAS;ENTIDAD QUE VIGILA
Caja Colombiana De Subsidio Familiar Colsubsidio;CL 134 55 30 LC 212A 212B;6178141;2;Suba
Caja Colombiana De Subsidio Familiar Colsubsidio;CL 90 11 A 40;6228209;2;Chapinero
Caja De Compensacion De Subsidio Familiar;CL 31 13A 51 LC 4;6509297;1;Centro Oriente
Caja De Compensacion Familiar Cafam;AK 14 71 60;2161347;2;Chapinero
Caja De Compensacion Familiar Cafam;KR 52 67 A 30;2315504;2;Chapinero
Caja De Compensacion Familiar Cafam;KR 22 45 C 34;2887716;2;Chapinero
Caja De Compensacion Familiar Cafam;KR 13 48 37;3105111;2;Chapinero
Caja De Compensacion Familiar Cafam;KR 45 26 85;3150721;2;Chapinero
Caja De Compensacion Familiar Cafam;CL 60 56 A 40;3242904;2;Chapinero
Caja De Compensacion Familiar Cafam;CL 51 15 45;3481434;2;Chapinero
Caja De Compensacion Familiar Colsubsidio;AK 14 39 71;2322864;2;Chapinero
Caja De Compensacion Familiar Colsubsidio;KR 13 63 A 31;2497613;2;Chapinero
Caja De Compensacion Familiar Colsubsidio;KR 8 49 25;3404408;2;Chapinero
Caja De Compensacion Familiar Colsubsidio;CL 39 A 29 63;3684458;2;Chapinero
Caja De Compensacion Familiar Colsubsidio;KR 7 45 10 LC8;6084975;2;Chapinero
Caja De Compensacion Familiar Colsubsidio;CL 45 C 21 A 22;7498487;2;Chapinero
Caja De Compesacion Familiar Cafam;KR 11 76 45;3133572;2;Chapinero
Caja De Compesacion Familiar Colsubsidio;KR 52 67 A 30;2315504;2;Chapinero
Caja Popular Droguería;CL 12 11 25 13 52;2438724;2;Centro Oriente
Caja Popular Droguería Santos;CL 3 20A 75 LC 5;7027225;2;Centro Oriente
Cali Medical JM;DG 62 SUR 68B 20;7130740;2;Vista Hermosa
Camila Lumpaque;CL 60A SUR 66 80;7112373;2;Vista Hermosa
Can 2005 S En C;CL 20 SUR 25 41 SUR;5600442;2;Rafael Uribe
Caprifarma;KR 21 37 48 SUR;5104955;2;Rafael Uribe
Cardio Rebajas 2;KR 12 A 161 B 94 LC 1;5264847;2;Usaquén
Cardiorebajas 2;KR 11 D 118 A 95;5227258;2;Usaquén
Cardiosalud;CL 163 A 14 D 36;6712434;2;Usaquén
Cares;CL 15 15 39 P 2;0;2;Centro Oriente
Carrefouroperada Por Farmasanitas;CL 17 112 58;4219404;2;Fontibón
Carulla Vivero Cedritos;KR 19 140 51 LC 1;6144571;1;Usaquén
Carulla Vivero Cedro Bolivar;KR 17 151 44 LC 4;2748443;2;Usaquén
Casa Grande;CL 68B SUR 69 11;7167111;2;Vista Hermosa
Caviedes Asociados;AC 80 23 51;6969460;2;Chapinero
Cedrifarma Express 144;KR 11 144 63;6140926;2;Usaquén
Cendem Ltda;KR 16 A 77 33;7425088;2;Chapinero
Centro De Suministros Diabetes Y Salud Ltda;KR 19 A 82 51;6106150;2;Chapinero
Certifarma Droguería;KR 75 24D 54 LC 102;5473225;2;Fontibón
Ciruderma SA;CL 127 15 03 LC 106;2131305;2;Usaquén
Ciruderma SA;AK 15 122 63;3099845;2;Usaquén
Cityfarma Reyes;CL 71 A 86 69;2523869;2;Engativá
Clinica All Service SAS Famili Farmacia Bella Suiza;CL 127 7 B 60;7436860;2;Usaquén
Clinica De La Sabana Sa Farmasabana;AK 19 102 53;7495735;2;Usaquén
Clinica Padova Ltda;DG 53 C 27 41;3478324;2;Chapinero
Colmedica De Descuentos;KR 20 27 98 SUR;3021119;2;Rafael Uribe
Colombia Farma;AC 19 8 32;2844256;2;Centro Oriente
Colombia Farma;CL 151 18 A 11;5272189;2;Usaquén
Colombia Farma;CL 127 60 39;7029868;2;Suba
Colombia Farma Plaza Bolivar;KR 7 11 72 LC 124;2848012;2;Centro Oriente
Colsubsidio Droguería Colsubsidio Calle 116;AC 116 16 27;3431899;2;Usaquén
Colsubsidio Plaza Aventura;CL 130 58 20 LC 20;6434809;2;Suba
Comercializadora De Drogas San Blas;TV 4 ESTE 21 38 SUR;3635085;2;San Cristóbal
Comercializadora Durquint Ltda;TV 3 49 00 SOTANO 2;3486868;2;Chapinero
Comercializadora Pharmaskin Ltda;AK 15 123 30 LC 2112;6290256;2;Usaquén
Comfadrogas;DG 46 SUR 13 49;7141462;2;Rafael Uribe
Comfadrogas;DG 46 SUR 15 05;7141462;2;Rafael Uribe
Comsac Ltda;AV CARACAS 11 31 SUR;0;2;Rafael Uribe
Contipharma;CL 50 82 55;4106836;2;Engativá
Contipharma Droguería;AC 80 89 03 LC 130;2512665;2;Engativá
Contipharma Droguería;CL 134 51 88;2582265;2;Suba
Contipharma Ltda;AK 68 72 43;2311703;2;Engativá
Contipharma Makro Norte;AK 45 192 18;6782857;2;Usaquén
Contipharma Primavera;CL 3 38 20;2771747;2;Sur
Convisalud;KR 64B 62D 77 SUR;4644899;2;Tunjuelito
Convisalud Ltda;KR 68B 61 18 SUR;4775509;2;Vista Hermosa
Cooperfarma;KR 18I 69D 18 SUR;7652731;2;Vista Hermosa
Coopisalud;KR 18G 73A 62 SUR;7618103;2;Vista Hermosa
Coopservir Ltda;CL 68 51 11;2502442;2;Chapinero
Coopservir Ltda;KR 86 90 03;2515217;2;Engativá
Coopservir Ltda;KR 4 18 92;3187390;1;Centro Oriente
Copifam Bogota 110;AK 15 110 91 LC 105;5201757;2;Usaquén
Copifam Bogota 116;AC 116 15 89 LC 1;2151577;2;Usaquén
Copservir Drogas La Rebaja;KR 13 56 96;2115245;2;Chapinero
Copservir Ltda;CL 60 09 09;2110422;2;Chapinero
Copservir Ltda;KR 19 45 19;2450051;2;Chapinero
Copservir Ltda;KR 7 60 38;2490587;2;Chapinero
Copservir Ltda;AV ESPERANZA 59 60;4286469;2;Chapinero
Copservir Ltda;CL 66 24 37;6600712;2;Chapinero
Copservir Ltda Drogas La Rebaja;KR 57 44 24;2212770;2;Chapinero
Copservir Ltda La Rebaja;AK 15 105 A 16;6191658;2;Usaquén
Copservir Ltda La Rebaja 104;AC 147 9 92 LC 26;6332873;2;Usaquén
Copservir Ltda La Rebaja No 123 Bogota;AK 15 118 06;2137662;2;Usaquén
Copservir Ltda La Rebaja No 126;KR 15 124 75;2154260;2;Usaquén
Corporacion De Drogas Cardome;CL 45 SUR 78 04;4514951;2;Sur
Cosmeceuticos Ltda;KR 28 A 63 34;2170795;2;Chapinero
Cosmeticos Humar Belleza Natural No 2;AK 15 112 03 LC 11;2151773;2;Usaquén
Cosmiotet San Antonio;KR 14 B 0 61 SUR;3800407;2;Rafael Uribe
Cr Dimeg;KR 3 73C 25 SUR;4620083;2;Usme
D Vida Farmat;CL 18 8 10 IN 101;3416593;2;Centro Oriente
Dafersalud;KR 96 40 B 29 SUR;5707401;2;Sur
Danny G;CL 49B SUR 27 92;2305077;2;Tunjuelito
Darmary;KR 18Q 68 23 SUR;7913598;2;Vista Hermosa
Darvida Droguerías;KR 52A 45B 07 SUR;2708891;2;Tunjuelito
Demos Chico;CL 93 B 18 84;6164218;2;Chapinero
Dempos;CL 127 70D 85 OF 202;2531577;2;Suba
Dempos Chapinero;KR 7 56 29;3482990;2;Chapinero
Dempos SA;CL 58 A 35 A 12;2219283;2;Chapinero
Dempos SA;CL 147 101 12;6922046;2;Suba
Dempos SA;KR 35 A 58 64;8050254;2;Chapinero
Dempos Suba;AV CL 145 101 12 LC 08;6922046;2;Suba
Dempus Chapinero;KR 7 56 29;3482990;2;Chapinero
Dempus Droguería Junin;CL 100 19 A 35;6004702;2;Chapinero
Deposito Principal De Drogas;CL 63 16 A 20;2497202;2;Chapinero
Deposito Principal De Drogas;CL 67 11 08;2552468;2;Chapinero
Depósito Principal De Drogas;TV 94 84 27;2517227;2;Engativá
Depósito Principal De Drogas Ltda.;TV 94 80C 32;4318407;2;Engativá
Derly SV;CL 72C SUR 46C 04;7316598;2;Vista Hermosa
Derma Support Store;CL 82 11 75 LC 3214;3764172;2;Chapinero
Derma Support Store;CL 125 21 A 18 LC 105;6371702;2;Usaquén
Dermacare SA;KR 48 91 46;2368065;2;Chapinero
Dermaclinic & Laser Eli Dermamed;CL 125 19 A 04;6011298;2;Usaquén
Dermahelp;CL 53 B 25 21 LC2090;3115658;2;Chapinero
Dermapiel;CL 60 09 83 LC 118;3483191;2;Chapinero
Dermapiel Ltda;AK 45 146 48 LC 270;5275268;2;Usaquén
Dermapiel SA Galenos Piel SA;KR 7 139 07 LC 132;6146826;2;Usaquén
Dermopiel Ltda;CL 60 09 83 LC118 P2;2126540;2;Chapinero
Detal SA;KR 13 42 37;3230270;2;Chapinero
Diabetcare Salud Y Bienestar Ltda;CL 106 54 60;2261941;2;Suba
Diancor JD;CL 93 SUR 3A 04 ESTE;0;2;Usme
Didrogas Ferias;KR 69 H 72 97;2401721;2;Engativá
Dinafarma;KR 4 187 10 LC 1;6733492;2;Usaquén
Disfarma;KR 18L 66 19 SUR;0;2;Vista Hermosa
Disfarma;CL 81 95 D 42 IN 103;0;2;Engativá
Disfarma;TV 127 135 16;0;2;Suba
Disfarma;KR 14 BIS 54 04 SUR;;2;Tunjuelito
Disfarma SA;KR 8 20 22 SUR;0;2;San Cristóbal
Dismedicar;Cl 64C SUR 37 04;0;2;Vista Hermosa
Dismedicar Ltda;CL 153 104 44 LC 03;0;2;Suba
Dismedicar Ltda;CL 16J 98 43;2801738;2;Fontibón
Dismedicsr;CL 24 SUR 8 92;0;2;San Cristóbal
Dismedicsr;KR 8 15 08 SUR;0;2;San Cristóbal
Dispensario Avenida El Dorado;KR 68 B BIS 44 58;0;2;Engativá
Dispensario Cl 67 Colsubsidio;CL 67 10 67 P 1;2101067;2;Chapinero
Dispensario Evedisa Bogota 2;KR 66 A 12 94;2617845;2;Sur
Dispensario Farmacia SYA;CL 80 BIS 94 K 76;5353384;2;Engativá
Distribuidora Internacional O Y D;CL 63A SUR 27 04;7172712;2;Vista Hermosa
Distribuidora Sanbet SAS;KR 7 45 76 P 4;7427101;2;Chapinero
Distribuidores SIS;KR 15 50 39;0;2;Chapinero
Distridrogas La Mejor;KR 11B ESTE 46 17 SUR;2728083;2;San Cristóbal
Distrireuma Ltda;KR 12 97 44;6107952;2;Chapinero
Dizfarma;KR 20 65 99 SUR;7154524;2;Vista Hermosa
Dizfarma 3;KR 20 65 99 SUR;7503534;2;Vista Hermosa
Dliana Norte;AK 15 119 64;2140383;2;Usaquén
Dogreria Copicentral;KR 18L 69P 03 SUR;7664160;2;Vista Hermosa
Dogueria Alidrogas;KR 46 69D 33 SUR;7159712;2;Vista Hermosa
Dolores Y Remedios;CL 78 69 B 04;4917343;2;Engativá
Domifarma;KR 70 49 39;6385898;2;Engativá
Don Jorge;KR 19 F 70L 03 SUR;7900590;2;Vista Hermosa
Dorgueria Auxiliar Del Sur;KR 2 ESTE 41 09 SUR;3641110;2;San Cristóbal
Dovimar;KR 61G 52 24 SUR;4834486;2;Tunjuelito
Dr0Gueria Latina No 1;CL 147 13 94 LC 2;6140992;2;Usaquén
Dreogueria Y Perfumería Septima No 5;KR 07 60 73 LC 04;5436708;2;Chapinero
Drigeria J M Com;KR 24 31B 21 SUR;;2;Rafael Uribe
Drigueria Andes Salud;KR 156A 136 11;4931542;2;Suba
Drigueria Nico Salud;CL 78 SUR 1G 26 ESTE;7621536;2;Usme
Droga La Rebaja 2 Galan;KR 56 2 A 98;2622512;2;Sur
Drogas 1981;CL 53 73 A 73;4790874;2;Engativá
Drogas 1981 (Pharma Center);KR 52 C 40 05 SUR;7242676;2;Sur
Drogas 1998;KR 70 62 28 SUR;2048350;2;Vista Hermosa
Drogas 71;KR 37 52 15 SUR;7411774;2;Tunjuelito
Drogas A & L;CL 57 SUR 19A 79;;2;Tunjuelito
Drogas A Y C;CL 69F SUR 1B 83;7611607;2;Usme
Drogas Abby;CL 48F BIS SUR 9 80;7698505;2;Rafael Uribe
Drogas Abwerk;KR 17A 78A 12 SUR;7921609;2;Vista Hermosa
Drogas Abwerk RD;KR 17A 78A 12 SUR;7921609;2;Vista Hermosa
Drogas Acuarium;KR 102A 130C 86;6862071;2;Suba
Drogas Aguilar Rivera;KR 32 55 01 SUR;2700759;2;Tunjuelito
Drogas Al Cid;KR 126A 136 36;6870582;2;Suba
Drogas Al Economia;CL 65 6 15;2356466;2;Chapinero
Drogas Al Fragua;CL 72 20 15;2359312;2;Chapinero
Drogas Albert De Venecia;KR 54 47 24 SUR;5630157;2;Tunjuelito
Drogas Alfer;CL 28 SUR 14B 43;2729183;2;Rafael Uribe
Drogas Alix Sur;CL 64 BIS SUR 17D 63;7905982;2;Vista Hermosa
Drogas Amandi;TV 53D 128C 70;2167559;2;Suba
Drogas Anabeiba;KR 5 6 20 Usme;1660995;2;Usme
Drogas Ancel;KR 47B 75A 26 SUR;7319579;2;Vista Hermosa
Drogas Avenida Usme;AK 1 75 64 SUR;7624159;2;Usme
Drogas Basicas CVN;KR 121 64B 26;5447859;2;Engativá
Drogas Basicas CVN;KR 121 64 C 04;5447859;2;Engativá
Drogas Benfor;KR 4 ESTE 31C 18 SUR;5693313;2;San Cristóbal
Drogas Berfor;KR 4 ESTE 31A 61 SUR;0;2;San Cristóbal
Drogas Berfor;KR 4 ESTE 32 18 SUR;5693313;2;San Cristóbal
Drogas BJ Oriente;KR 1B 41 94 SUR;3622591;2;San Cristóbal
Drogas Bogota #4;CL 63 SUR 71F 05;8031505;2;Vista Hermosa
Drogas Bonapar;KR 27 51 09;5216674;2;Chapinero
Drogas Bonsanar;TV 30 52B 02 SUR;2702433;2;Tunjuelito
Drogas Cafanal;DG 38 F SUR 11 45;3663706;2;Rafael Uribe
Drogas Calidad;AC 72 101 05;4313574;2;Engativá
Drogas Calle Cuarta;CL 4 SUR 10A 36;4091286;2;Rafael Uribe
Drogas Cano;CL 165A 54C 05;6709243;2;Suba
Drogas Cantalejo;KR 73 A 75 A 51;5431934;2;Engativá
Drogas Capital No 5;CL 38 SUR 87 I 06;4015631;2;Sur
Drogas Capital No 7;KR 56 2 B 95;2614822;2;Sur
Drogas Capitalina 1;TV 30 52 60 SUR;2303952;2;Tunjuelito
Drogas Cardozo;KR 55 173 11;6703629;2;Suba
Drogas Cash;KR 49 D 86 A 36;6919497;2;Chapinero
Drogas Celestial;KR 23C 32 07 SUR;2729997;2;Rafael Uribe
Drogas Celmita;AK 50 29 05 SUR;7137567;2;Sur
Drogas Centauros Uno A;KR 103A 20 19;4561420;2;Fontibón
Drogas Chapinero;KR 15 64 01;3146879;2;Chapinero
Drogas Chapplin;TV 33 49A 36 SUR LC 2;7112921;2;Tunjuelito
Drogas Charic;CL 132D 126 29;6907566;2;Suba
Drogas Charlie;CL 132D 126 29;6907566;2;Suba
Drogas Claret;KR 27 46 30 SUR;7690035;2;Rafael Uribe
Drogas CMO;KR 103C 137 12;6802786;2;Suba
Drogas Colexito;CL 65 SUR 1A 51 ESTE INT 1 CS 2;2008770;2;Usme
Drogas Colombia Farma;KR 10 17 87;2430658;2;Centro Oriente
Drogas Colombia Farma;CL 17 8 15 LC 14;2435234;2;Centro Oriente
Drogas Colombia Farma;CL 17 7 24;3348191;2;Centro Oriente
Drogas Colombia Farma;CL 72 12 45;5439484;2;Chapinero
Drogas Compartir Suba HC;KR 117 151C 40 LC 1A;5382713;2;Suba
Drogas Compensalud;CL 139 102A 24 LC 112;6808146;2;Suba
Drogas Condor Fatima;CL 51 SUR 36 97;2389735;2;Tunjuelito
Drogas Condor Villa Inés;CL 2B 40 08 LC 1;4077491;2;Sur
Drogas Corpisalud;KR 9 50A 17 SUR;7142001;2;Rafael Uribe
Drogas Cristy;KR 24 33 97 SUR;2029512;2;Rafael Uribe
Drogas D K Lidad;KR 93 127D 25;6811579;2;Suba
Drogas Daniand;CL 2 B 53 C BIS 10;4136691;2;Sur
Drogas Danny G;CL 18 104B 53;2678367;2;Fontibón
Drogas Daryan;KR 93 128 66;6846829;2;Suba
Drogas De Calidad Ltda;CL 5 A 53 A 23;0;2;Sur
Drogas De La 16;KR 16C 64 36 SUR;7914727;2;Vista Hermosa
Drogas De La 33;KR 29 69 43;2251729;2;Chapinero
Drogas De La 45;DG 45 A 16 B 61 S;2799929;2;Rafael Uribe
Drogas De La 76;CL 76 SUR 46A 21;7185227;2;Vista Hermosa
Drogas De La Calle 43 ALG;CL 25B BIS 101B 04;2980661;2;Fontibón
Drogas De La Cuarta;KR 4 12C 34 LC 1;3346318;2;Centro Oriente
Drogas De Occidente Olga B;KR 104B 23D 72;4211608;2;Fontibón
Drogas Del Kosto;AC 26 49 63 SUR;7281086;2;Sur
Drogas Diana;DG 47A SUR 52 06;7283866;2;Tunjuelito
Drogas Difam;TV 126B 133 04;6894386;2;Suba
Drogas DK;CL 58 SUR 19B 26;7014705;2;Tunjuelito
Drogas Don Saludero;CL 120 60 31;6433899;2;Suba
Drogas Dronaturales Nuñez Cia Ltda;AC 13 13 27;2848245;2;Centro Oriente
Drogas Edelma;KR 21 22 52 SUR;2785037;2;Rafael Uribe
Drogas Edison Del Rocio;KR 5 2C 28 ESTE;3373823;2;Centro Oriente
Drogas Edwmar;KR 3C 74C 45 Sur;7632015;2;Usme
Drogas El Alcon No 1;KR 18B 51 03 SUR;8025495;2;Tunjuelito
Drogas El Descuento Fatima;CL 51 SUR 38 99;2300866;2;Tunjuelito
Drogas El Lago MC;KR 73 A 73 20;2525638;2;Engativá
Drogas El Portal;KR 82 76 A 26;2762834;2;Engativá
Drogas El Portal Del Sur;KR 4B 50B 23 Sur;7714417;2;Usme
Drogas Emilce;CL 33 SUR 51 61;2704112;2;Sur
Drogas Express San Jose;CL 22 SUR 14 81;2784869;2;Rafael Uribe
Drogas Fabisan;CL 19 SUR 12A 24;2787181;2;Rafael Uribe
Drogas Fadim;KR 27 46 12 SUR;2796457;2;Rafael Uribe
Drogas Familiar Del Sur;KR 4B 51A 24 SUR;7722029;2;Rafael Uribe
Drogas Familsanar;CL 71C SUR 2 94;7732218;2;Usme
Drogas Farma Exito AR;CL 48L 5A 30 SUR;9137977;2;Rafael Uribe
Drogas Farma Pico;KR 103A 16J 52;2671637;2;Fontibón
Drogas Farmaeconomica;AC 68 SUR 46A 07;7181695;2;Vista Hermosa
Drogas Farmaestrella G L;KR 18A BIS 74 07 SUR;7908894;2;Vista Hermosa
Drogas Farmahorro;CL 152B 111 04;6804502;2;Suba
Drogas Farmalay;KR 46 178 21;4809807;2;Suba
Drogas Farmavida Norte;KR 102A 133A 05;6929814;2;Suba
Drogas Fenix RR;CL 6D 1 60;2337805;2;Centro Oriente
Drogas Full Salud;CL 54 SUR 15 70 LC 3;7675333;2;Tunjuelito
Drogas Galeano;KR 37B 64 03 SUR;7152232;2;Vista Hermosa
Drogas Garcia;DG 17C SUR 24I 08;0;2;Rafael Uribe
Drogas Gerdem;CL 136 117 46;6899914;2;Suba
Drogas Gimondi;CL 132 46 72;6019241;2;Suba
Drogas Gimondi;CL 132 46 81;6256823;2;Suba
Drogas Ginna;CL 133A 100A 03;6860543;2;Suba
Drogas Global Farma;CL 132D 129 49;6976190;2;Suba
Drogas Global Farma No 2 Nogales;CL 132D 129 49;6976190;2;Suba
Drogas Gran Deposito No 7;KR 41 A 3 C 05;2375781;2;Sur
Drogas Guibett;KR 91 89 19;2514303;2;Engativá
Drogas Harvey;CL 22 SUR 51D 06;2036606;2;Sur
Drogas Hipersalud;KR 13 BIS 53 63 SUR;5676437;2;Tunjuelito
Drogas Hopal;KR 64 74 73;2295051;2;Chapinero
Drogas Hospitalarias El Guavio;CL 6D 4A 16 ESTE;2330867;2;Centro Oriente
Drogas Humanitarias Cristo;TV 30 52B 25 SUR;2700191;2;Tunjuelito
Drogas Impacto;KR 72 M 40 C 27 SUR LC 5;2337023;2;Sur
Drogas Internacionalcom;KR 52A 46 30 SUR;2707048;2;Tunjuelito
Drogas Ismar 2;KR 60 74 40;2312707;2;Chapinero
Drogas J Alarcon S;KR 2A ESTE 28 77 SUR;3676242;2;San Cristóbal
Drogas J Y O;CL 62 35 A 37;2219278;2;Chapinero
Drogas JA Cartago;TV 12C 36 27 SUR;2092641;2;Rafael Uribe
Drogas Jackeline;CL 66 A 104 10;2286927;2;Engativá
Drogas JB;KR 77C 57T 04 SUR;7191065;2;Vista Hermosa
Drogas Jerusalud;CL 70 SUR 49B 14;7181843;2;Vista Hermosa
Drogas JGD;CL 18 114A 08;4211485;2;Fontibón
Drogas Jhonsons;CL 57 SUR 18C 14;5695884;2;Tunjuelito
Drogas JM La 40;CL 40 SUR 20 35;2798969;2;Rafael Uribe
Drogas Jose D C G;CL 12B 24 20;2019906;2;Centro Oriente
Drogas Jovirf;KR 111A 22J 15;0;2;Fontibón
Drogas JR Hospitalaria;TV 16C 75B 48 SUR;7908282;2;Vista Hermosa
Drogas Juaninaya;TV 44 49A 12 SUR;8008502;2;Tunjuelito
Drogas Juarez;CL 4 A 51 A 45;4177048;2;Sur
Drogas K 33;CL 16A SUR 24 B 00;2787952;2;Rafael Uribe
Drogas Karen Daniela;KR 71 C 8 26 SUR;4137343;2;Sur
Drogas Kasuka;DG 57Z SUR 74I 15;7797178;2;Vista Hermosa
